feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu00293	status	colonized	-1.01224653783431	0.210460283232953	98	13	5.60092640007132e-06	1.13281894858585e-05
Otu00309	status	colonized	-0.448242229749221	0.0933047790984048	98	12	5.72901287307427e-06	1.15007795735596e-05
Otu00049	status	colonized	1.99970097340043	0.424270651763648	98	28	8.2417003007349e-06	1.64223509696125e-05
Otu00561	status	colonized	-0.437025000038981	0.0934245576402712	98	12	9.48840271394525e-06	1.87675024268476e-05
Otu00179	status	colonized	1.44258046660616	0.308976190740773	98	26	9.8305733296841e-06	1.93023666108396e-05
Otu00560	status	colonized	-0.432432432432431	0.0928994473190552	98	11	1.03935028079964e-05	2.02597989518191e-05
Otu00178	status	colonized	1.51796998926267	0.328647729878404	98	25	1.19813381936432e-05	2.31869062884175e-05
Otu00187	status	colonized	1.51682802954168	0.329251082714362	98	24	1.25576030368841e-05	2.41285372637273e-05
Otu00521	status	colonized	-0.468160218780739	0.101829496003652	98	12	1.3031030695627e-05	2.48606188448486e-05
Otu00355	status	colonized	-0.962767626885284	0.209771023764667	98	13	1.34405950250595e-05	2.54614088854999e-05
Otu00010	status	colonized	2.36935084012355	0.516712910313293	98	31	1.36630248457648e-05	2.57017740105646e-05
Otu00005	status	colonized	2.28397170053687	0.499270623702928	98	26	1.42547873470018e-05	2.66287346968298e-05
Otu00237	status	colonized	0.960735119769407	0.210991455427729	98	25	1.54869419766114e-05	2.87309475290238e-05
Otu00496	status	colonized	-0.640925554531517	0.14136581213593	98	12	1.67197736686506e-05	3.08056103895002e-05
Otu00108	status	colonized	-1.10984839192645	0.244996009539613	98	11	1.69653888415356e-05	3.10455074719257e-05
Otu00356	status	colonized	-0.869540759427837	0.193571252835883	98	12	1.9663888742363e-05	3.5740446430376e-05
Otu00067	status	colonized	-1.68887668462906	0.380141647681971	98	30	2.37961734529307e-05	4.29608769049555e-05
Otu00696	status	colonized	-0.409997973011955	0.0930535167922609	98	11	2.74030344343517e-05	4.9142775085604e-05
Otu00110	status	colonized	-1.9655390239873	0.447871836094324	98	21	2.92946275980667e-05	5.21871180389399e-05
Otu00084	status	colonized	-0.961038313460254	0.219326031347895	98	10	3.0071048880973e-05	5.32178430854062e-05
Otu00395	status	colonized	-1.06851379879614	0.24464439877751	98	16	3.17419483389299e-05	5.58077392364192e-05
Otu00476	status	colonized	-0.566953511445945	0.131043066266904	98	11	3.7122522792355e-05	6.48438872152175e-05
Otu00378	status	colonized	-0.853825555067273	0.197648926422547	98	21	3.80573007586144e-05	6.60478316391437e-05
Otu00073	status	colonized	1.8460462782191	0.427815844460744	98	28	3.87648842718372e-05	6.68445760841295e-05
Otu00234	status	colonized	-1.24447673065542	0.288727035732281	98	10	3.94804958705988e-05	6.7644926045803e-05
Otu00154	status	colonized	1.19277613098977	0.277062916001522	98	27	4.02568959925305e-05	6.8538639379688e-05
Otu00162	status	colonized	-1.76434130741006	0.410800860389664	98	49	4.18381893490558e-05	7.07828486471448e-05
Otu00176	status	colonized	-0.489427387588892	0.114289430777198	98	15	4.38648582885684e-05	7.37477929976557e-05
Otu00282	status	colonized	-0.906270386886364	0.212945828935473	98	28	4.84623938903384e-05	8.04715059043274e-05
Otu00445	status	colonized	-0.437025000038981	0.102651518282469	98	10	4.8191384137508e-05	8.04715059043274e-05
Otu00105	status	colonized	1.57486067196627	0.370909021976564	98	23	5.03024190307741e-05	8.30144215906639e-05
Otu00447	status	colonized	-0.409997973011955	0.0977934052230285	98	10	6.14293728105708e-05	0.000100759154183192
Otu00210	status	colonized	1.201054266279	0.289397865107328	98	24	7.18773067911635e-05	0.000116858924779052
Otu00569	status	colonized	-0.705272089232622	0.169973897180115	98	10	7.21136859231323e-05	0.000116858924779052
Otu00330	status	colonized	-1.19184101967264	0.287777778364558	98	34	7.42145616558881e-05	0.000119543216080443
Otu00606	status	colonized	-0.426088928907394	0.104571161460189	98	15	9.49215393130679e-05	0.000151987464733424
Otu00261	status	colonized	1.36543534156455	0.337150592682506	98	21	0.00010388694161966	0.000165358504708217
Otu00343	status	colonized	-0.441133191753712	0.110169897038587	98	10	0.000122703143684351	0.000194159680300533
Otu00172	status	colonized	1.68884802530317	0.430916340331721	98	19	0.000166538582059122	0.000261981746046221
Otu00114	status	colonized	1.32620246212335	0.340965321330061	98	21	0.000185104116610651	0.000289494228885262
Otu00352	status	colonized	0.572537909895174	0.148238026099196	98	22	0.000203907090036655	0.000317057845201505
Otu00169	status	colonized	1.08604013592242	0.28184801751557	98	41	0.000210507939208902	0.000325440434753993
Otu00066	status	colonized	1.91354544915705	0.498635664651554	98	19	0.000222522820193381	0.000342049363611541
Otu00201	status	colonized	-1.49597655234536	0.390252988370485	98	36	0.00022585111621097	0.000345192899208812
Otu00212	status	colonized	-0.657833783861748	0.17249991967197	98	11	0.000242161036251634	0.000368030049444573
Otu00194	status	colonized	0.865826381833996	0.229759948711611	98	20	0.00028359176893507	0.000428574077772663
Otu00015	status	colonized	-2.07724620300997	0.552639042700937	98	46	0.000293254873830471	0.000440701458437971
Otu00124	status	colonized	1.20835060549362	0.323694868341326	98	21	0.000320722092443295	0.000479301349262479
Otu00271	status	colonized	-1.02732308489901	0.276870942269267	98	27	0.000346693918460338	0.000515252287656524
Otu00213	status	colonized	-0.891738240137034	0.247432048604057	98	10	0.000499017550634197	0.000737558907256038
Otu00058	status	colonized	1.78095590972413	0.498920333994391	98	19	0.000560397038236338	0.000823753023418443
Otu00426	status	colonized	-0.269686624964107	0.0756035293261643	98	10	0.000565137716642653	0.000826206770526488
Otu00434	status	colonized	0.41942561476592	0.118317581186104	98	18	0.000608884148004059	0.00088535046385455
Otu00233	status	colonized	0.719040171190302	0.20554445216738	98	19	0.000711535755346896	0.00102904902251782
Otu00040	status	colonized	-2.14095836301434	0.632022168178263	98	40	0.00102404980193641	0.00147309837818661
Otu00301	status	colonized	0.676102823386055	0.199841799019081	98	18	0.00103841065245419	0.00148581098675626
Otu00223	status	colonized	0.791097032828091	0.235453884219505	98	16	0.0011199358563761	0.00159398277970989
Otu00167	status	colonized	-1.00604698947743	0.304450305262441	98	33	0.00133849383214075	0.00189502547813611
Otu00042	status	colonized	1.34548573307571	0.40842935803571	98	22	0.00138275197999223	0.00194743603464874
Otu00062	status	colonized	1.80991921504651	0.551023108677675	98	16	0.00142593317400149	0.00199779179065833
Otu00119	status	colonized	-1.61934836024449	0.493648989561585	98	34	0.0014455436555343	0.00201477328154781
Otu00037	status	colonized	1.48818079248971	0.457546430397912	98	16	0.00157912971475739	0.00218961800654504
Otu00337	status	colonized	0.629249903643329	0.196267724811579	98	16	0.00182797046327198	0.00252166181856494
Otu00039	status	colonized	1.58633624593632	0.501612854143682	98	17	0.00209449602589317	0.00287458893349624
Otu00104	status	colonized	-1.31598582785745	0.416778509428848	98	70	0.00212695655583578	0.00290432138842551
Otu00495	status	colonized	0.304671516405266	0.097504605634064	98	15	0.00235424918714894	0.0031984496532478
Otu00406	status	colonized	0.418381579553993	0.134901057563977	98	18	0.00252899443712481	0.0034185904702843
Otu00403	status	colonized	0.450686116333274	0.145815093566685	98	15	0.00261236390281325	0.00351362944928382
Otu00045	status	colonized	1.52959740839439	0.498505449117625	98	17	0.00279751120859841	0.00372544211562181
Otu00506	status	colonized	0.479160962139276	0.156161777021138	98	16	0.00279754389351526	0.00372544211562181
Otu00061	status	colonized	1.40739827619143	0.461232574788141	98	14	0.00294563612216689	0.0038841966512887
Otu00117	status	colonized	0.79736942662459	0.261185036819587	98	16	0.00293221443373941	0.0038841966512887
Otu00203	status	colonized	0.735673724894637	0.248843410638548	98	13	0.00391732435747158	0.00514029391297491
Otu00077	status	colonized	0.643266140256361	0.220324830345294	98	13	0.0043667302444887	0.00570218658139544
Otu00537	status	colonized	0.39344262295082	0.135439883621797	98	14	0.00455947337317919	0.00592511274099131
Otu00038	status	colonized	1.43682025299807	0.497289956055004	98	13	0.00477285641165615	0.00617258834007454
Otu00408	status	colonized	0.430274436040871	0.14910166928552	98	13	0.00482220930230317	0.00620657560918446
Otu00027	status	colonized	0.396116856745708	0.137365145854674	98	12	0.00485186956019464	0.00621501386520171
Otu00375	status	colonized	-0.81099666755072	0.282679943844453	98	17	0.0050644603946131	0.00645658694858257
Otu00312	status	colonized	0.776310045767215	0.278044616501335	98	12	0.00632105324944784	0.00802058171745976
Otu00292	status	colonized	0.452584591972272	0.164462621855982	98	12	0.00708432213376142	0.00894686692010245
Otu00060	status	colonized	0.766854459983764	0.282635819946391	98	13	0.00789842494521292	0.00992839397318821
Otu00446	status	colonized	0.434292673710324	0.160415034840697	98	12	0.0080302498306751	0.010047149788147
Otu00183	status	colonized	-0.530179465990152	0.19612727319444	98	19	0.00812194514039417	0.0101148298276205
Otu00103	status	colonized	0.407226501996692	0.150758957369949	98	11	0.00816891108996101	0.0101264381714263
Otu00487	status	colonized	-0.231723526805494	0.0888845351182589	98	12	0.0105902012160226	0.013067725353716
Otu00513	status	colonized	0.297867622974465	0.114432569804151	98	12	0.0107067300490921	0.0131511889644099
Otu00097	status	colonized	-1.25140729765866	0.485816780464325	98	33	0.0115232892905001	0.0140898400870206
Otu00057	status	colonized	0.836319211069237	0.326449934386627	98	11	0.0119672555174982	0.0145664784353258
Otu00016	status	colonized	1.31423162670648	0.513421654453056	98	13	0.0120353600145161	0.014583386684256
Otu00191	status	colonized	0.606027046662956	0.237805321964212	98	12	0.0124072973850868	0.0149666502089164
Otu00283	status	colonized	0.546009406649072	0.215096003441541	98	10	0.0127430270270397	0.0153030101351504
Otu00071	status	colonized	0.772032050871226	0.306175849007671	98	10	0.0133312006544353	0.015938191004636
Otu00254	status	colonized	0.381334115565525	0.151865391596007	98	10	0.0137096082506712	0.0163180735373034
Otu00173	status	colonized	0.670339961796339	0.270375299312718	98	12	0.0149077833203713	0.017620409520282
Otu00245	status	colonized	0.435446597118379	0.17568199251675	98	14	0.0149347708945141	0.017620409520282
Otu00111	status	colonized	-1.00656385419535	0.407662955377946	98	32	0.0153121497278658	0.0179867610340432
Otu00177	status	colonized	0.379834836089219	0.155895351830967	98	10	0.0166744865744379	0.0195018995153208
Otu00626	status	colonized	0.248687295105612	0.103297395156032	98	10	0.0179740042540389	0.0209307668585994
Otu00341	status	colonized	0.416372847408823	0.17481299945655	98	10	0.0191993507034467	0.0222613161173584
Otu00236	status	colonized	0.261251046755287	0.110006600872107	98	14	0.0195436942905386	0.0225633208762013
Otu00350	status	colonized	0.558117416324274	0.237878833928675	98	10	0.021020911414196	0.0241650648308493
Otu00454	status	colonized	0.305636986717618	0.131740639719923	98	10	0.0224598810776139	0.0257093957867155
Otu00190	status	colonized	-0.805998097642306	0.348489320865379	98	34	0.0228671611227529	0.0260646878899175
Otu00155	status	colonized	-0.719477210998691	0.317195170980587	98	37	0.0255547619467623	0.029005193939574
Otu00229	status	colonized	0.228464161509385	0.101266988106017	98	12	0.0263362771049773	0.0297666325262139
Otu00539	status	colonized	-0.204696499778468	0.0927872081688572	98	10	0.0297634044806424	0.0334993966748653
Otu00065	status	colonized	0.670290357485164	0.30433549643832	98	10	0.0300256849316695	0.0336537885275796
Otu00310	status	colonized	0.582719870172863	0.28085635881703	98	12	0.0406808049550202	0.0454072055307072
Otu00220	status	colonized	-0.433984148519769	0.213388115404454	98	12	0.0447333379782786	0.0497242475874254
Otu00457	status	colonized	-0.235708463119826	0.118368154047558	98	15	0.0492880015594805	0.0545616148950628
Otu00208	status	colonized	0.456657103970185	0.247832083563217	98	17	0.0684726956032717	0.0754883406445905
Otu00003	status	colonized	1.41684384330567	0.781512035227346	98	83	0.0729643800169794	0.0801119111206835
Otu00002	status	colonized	1.5097055121702	0.869800460597195	98	78	0.0858269623956196	0.093851434489519
Otu00025	status	colonized	0.595898830051453	0.364964364946496	98	13	0.105795565284598	0.11521865207108
Otu00168	status	colonized	-0.314632971730691	0.193317124881477	98	18	0.106898528271974	0.115950419778875
Otu00448	status	colonized	0.180169965674209	0.116835005489063	98	16	0.126342008641105	0.136489961142399
Otu00182	status	colonized	-0.276615120218042	0.187837205765508	98	15	0.144121316753091	0.155074536826326
Otu00239	status	colonized	0.175967814430438	0.128099659785285	98	18	0.172740664345503	0.185128441071476
Otu00019	status	colonized	-0.70947094997861	0.52083337135523	98	54	0.176327402245207	0.188222504777622
Otu00150	status	colonized	0.510382734612325	0.4008224590071	98	48	0.205972559741629	0.21899849237351
Otu00391	status	colonized	-0.209626832302381	0.174214727961412	98	14	0.231831973974898	0.245522838579715
Otu00493	status	colonized	-0.152914429722582	0.12752212798104	98	12	0.233432421960394	0.246248319636651
Otu00319	status	colonized	-0.319615049331076	0.275854329659085	98	15	0.249478257512243	0.262147075276537
Otu00240	status	colonized	-0.262690835823053	0.24074661963431	98	15	0.277937637534181	0.290915270415154
Otu00957	status	colonized	0.147383080428304	0.136620913583841	98	11	0.283391578971935	0.295474165672289
Otu00001	status	colonized	0.368003801472107	0.411871176782081	98	97	0.373827937766974	0.388261448877667
Otu00197	status	colonized	-0.308403075872064	0.420417553015547	98	43	0.465002349841032	0.481098585027837
Otu00284	status	colonized	-0.124033188537531	0.191770880834577	98	27	0.51931905125415	0.535236876579947
Otu00157	status	colonized	-0.213063106487454	0.357957814080276	98	23	0.553097958437291	0.567875384807753
Otu00257	status	colonized	0.0899250775288845	0.170135624040738	98	21	0.598337920882416	0.611988215655399
Otu00007	status	colonized	0.275264261817348	0.564264636017167	98	87	0.62678373812088	0.638654642251957
Otu00079	status	colonized	-0.135801395626002	0.281134493016844	98	26	0.630161609782353	0.639673483137558
Otu00228	status	colonized	-0.102961259207336	0.345672412199148	98	28	0.766455279594904	0.775099512071539
Otu00488	status	colonized	-0.046533154070392	0.161975519506258	98	23	0.774513228010687	0.78031482522425
Otu00158	status	colonized	-0.0555728742764853	0.260341289999373	98	27	0.831419602095673	0.834521914043792
Otu00747	status	colonized	-0.0208414266802424	0.111903072331772	98	10	0.852645355479542	0.852645355479542
